Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Theresa Transfer Station,25770 State Route 411,,Theresa,NY,13691,Jefferson,6,3156284108,Town of Theresa,Municipal,Transfer facility - registration,[23T10021],Yes,431576,4893992,4.1 - Address Matching,MSW (Residential/Institutional & Commercial),23T10021,11/21/2019,11/20/2024,"25770 State Route 411
Theresa, NY 13691
(44.196307, -75.856062)"
Monroe County Yard Waste Compost Facility - Avion Drive,6 Avion Dr.,,Chili,NY,14624,Monroe,8,,Monroe County Dept. of Environmental Services,Municipal,Composting - yard trimmings - registration,[28P10003],Yes,280700,4775950,1 - No accuracy stated,Yard Waste,28P10003,01/17/2019,01/16/2024,"6 Avion Dr.
Chili, NY 14624
(43.102962, -77.69484)"
Waste Stream Management Transfer Station,51 Junction Road,,Malone,NY,12953,Franklin,5,3152653860,Waste Stream Inc.,Private,RHRF - 5 tpd or less - registration,[17R10003],Yes,558070,4967981,,Single Stream,17R10003,07/26/2019,07/26/2024,"51 Junction Road
Malone, NY 12953
(44.860717, -74.267584)"
Jet Paper Stock Corp TS,228 Blydenburgh Road,,Islandia,NY,11749,Suffolk,1,6312347100,Patricia DiMatteo,Private,RHRF - permit,[52RP0288],Yes,653272,4518747,4.3 - Utilization of Digital Orthophoto Quads,,1-4728-00720/00001,10/31/2019,10/30/2024,
North Norwich Transfer Station,6701 NYS Route 12,,Norwich,NY,13815,Chenango,7,6073371815,Chenango County,Municipal,Transfer facility - registration,[09T10015],Yes,456379,4715415,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Emergency Authorization Waste (Storm Debris),09T10015,06/18/2020,02/20/2024,
North Shore Terminal,2537 Richmond Terrace,,Staten Island,NY,10303,Richmond,2,7185560800,North Shore Terminal; Staten Island LLC,,CDDHRF - asphalt pavement and millings - registration,[43C20006],Yes,572313,4498927,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,43C20006,07/09/2021,07/08/2026,"2537 Richmond Terrace
Staten Island, NY 10303
(40.637839, -74.145386)"
Potter Pit,3802 Cottage Bridge Road,,Scio,NY,14880,Allegany,9,7164746381,Same as Site Owner,,CDDHRF - asphalt pavement and millings - registration,[02C20022],Yes,253555,4672027,4.2 - Utilization of GIS and existing spatial data,Asphalt Pavement;Asphalt Millings,02C20022,07/07/2020,07/07/2025,"3802 Cottage Bridge Road
Scio, NY 14880
(42.166338, -77.985794)"
Action Environmental Services - Stanley Ave,941 Stanley Ave.,,Brooklyn,NY,11208,Kings,2,7186652367,Action Environmental Systems LLC,Private,Transfer station - permit,[24TB7],Yes,595095,4501980,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,2-6105-00227/00003,02/08/2016,02/07/2021,"941 Stanley Ave.
Brooklyn, NY 11208
(40.663562, -73.874117)"
Eighteen Auto Parts Inc,127-40 Willets Point Blvd,,Corona,NY,11368,Queens,2,7183358624,Yosef Koralashvili,Private,Vehicle Dismantling Facility,[7053833],Yes,597810,4512687,,,,,,"127-40 Willets Point Blvd
Corona, NY 11368
(40.759473, -73.841341)"
Sierra Processing LLC-Schenectady Co,2 Moyer Ave,,Rotterdam,NY,12306,Schenectady,4,5186260777,Sierra Processing; LLC,Private,RHRF - greater than 5 tpd - registration,[47R22802],Yes,582065,4737984,,Single Stream,47R22802`,04/01/2019,04/01/2024,"2 Moyer Ave
Rotterdam, NY 12306
(42.789813, -73.998491)"
Rochester Gas & Electric Corp,89 East Ave.  (mailing),Mt. Read Blvd.,Rochester,NY,14649,Monroe,8,5855462700,RG&E,Private,Waste oil storage; reprocessing or rerefining facility,[28O02],Yes,283550,4780958,1 - No accuracy stated,,8-2614-00453/00003,10/23/2017,10/23/2027,"89 East Ave.  (mailing)
Rochester, NY 14649
(43.156927, -77.601861)"
Bushey's Auto Repair,4430 Rte 11,,Mooers Forks,NY,12959,Clinton,5,5185947388,Eugene E Bushey,Private,Motor vehicle repair shop - small - registration,[10V10001],Yes,599092,4974693,1.1 - Obtained from original submission and unverified process,End of Life Vehicles,10V10001,07/25/2019,07/25/2024,"4430 Rte 11
Mooers Forks, NY 12959
(44.917825, -73.74419)"
Westerlo (T) Transfer Station,88 Anable Road,,Westerlo,NY,12193,Albany,4,5187973536,Town of Westerlo,Municipal,Transfer facility - registration,[01T10038],Yes,578952,4708779,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Single Stream;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Electronics;Waste Tires,01R10038,03/22/2019,03/22/2024,"88 Anable Road
Westerlo, NY 12193
(42.519887, -74.041327)"
City of Syracuse - Peat Street,100 City Crossroads Drive,,Syracuse,NY,13210,Onondaga,7,3154482489,Syracuse Industrial Development Agency (SIDA),Municipal,Mulch processing - registration,[34M10014],Yes,408904,4767231,4.1 - Address Matching,Wood (Brush/ Branches/ Trees/ Stumps),34M10014,06/26/2018,06/26/2023,"100 City Crossroads Drive
Syracuse, NY 13210
(43.053179, -76.117673)"
Count and Crush(NY) LLC,Building 202 3rd St; Glenville Business Park,,Scotia,NY,12302,Schenectady,4,5184108551,Count & Crush (NY) LLC dba CLYNK,Private,RHRF - greater than 5 tpd - registration,[47R12201],Yes,582686,4743634,,Clear Glass;PET;Container Glass,47R12201,04/01/2019,04/01/2024,
NYCDOS MTS @ HAMILTON AVE.,500 HAMILTON Avenue,,Brooklyn,NY,11232,Kings,2,2128378030,New York City Department of Sanitation,,Transfer station - permit,[24T11],Yes,584802,4502388,,,2-6102-00010/00013,10/13/2015,11/15/2018,"500 HAMILTON Avenue
Brooklyn, NY 11232
(40.669369, -73.997285)"
Lee (T) Land Clearing Debris Processing,4771 Lee Center Taberg Road; Hardy Road,,Lee Center,NY,13363,Oneida,6,3153363438,Town of Lee,Municipal,C&D processing - registration,[33W06],Yes,453484,4794706,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips),33W06,06/06/2013,,"4771 Lee Center Taberg Road; Hardy Road
Lee Center, NY 13363
(43.310404, -75.545408)"
Mt. Morris(V) Biosolids Composting,15 Sullivan St,,Mt. Morris,NY,14510,Livingston,8,5856582910,Village of Mt. Morris,Municipal,Composting - biosolids/other - permit,[26PP0017],Yes,265371,4734483,1 - No accuracy stated,,8-2436-00020/00002,10/09/2019,10/08/2024,"15 Sullivan St
Mt. Morris, NY 14510
(42.726332, -77.867638)"
Stericycle - West Babylon,101 Eads Street,,West Babylon,NY,11704,Suffolk,1,8473675910,Formerly - Long Island Medical Disposal; Inc.,Private,RMW - permit,[52CP0253],Yes,636025,4510386,,,1-4720-03076/00001,04/22/2017,04/21/2022,"101 Eads Street
West Babylon, NY 11704
(40.733025, -73.389555)"
MEG Buffalo,4429 Walden Avenue,,Lancaster,NY,14086,Erie,9,7165970001,Miller Environmental Group; Inc.,Private,Transfer facility - permit,[15TP0091],Yes,205915,4758879,4.2 - Utilization of GIS and existing spatial data,Non-hazardous Waste,9-1452-00345/00001,02/11/2022,05/17/2025,"4429 Walden Avenue
Lancaster, NY 14086
(42.92672, -78.603772)"
Anton Junicic Enterprises Inc,776 3rd Ave,,Brooklyn,NY,11232,Kings,2,7187688884,Bernardo Junicic,Private,Vehicle Dismantling Facility,[7085636],Yes,584518,4501564,,,,,,"776 3rd Ave
Brooklyn, NY 11232
(40.660964, -74.000998)"
KVS Auto Wrecking Repair Shop; Corp.,1250 Oak Point Avenue,,Bronx,NY,10474,Bronx,2,7188423011,KVS Auto Wrecking Repair Shop; Corp.,Private,VDF - large - registration,[03V50009],Yes,593832,4518242,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles;Engine Coolant/Antifreeze;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water,03V50009,12/24/2019,12/23/2024,"1250 Oak Point Avenue
Bronx, NY 10474
(40.809992, -73.887598)"
Valley Towing,715 Valley Drive,,Syracuse,NY,13207,Onondaga,7,3152543838,Martin Ellis,Private,Scrap metal processor - registration,[34V30071],Yes,405740,4762556,,Cast Iron;Iron;Steel;Stainless Steel,34V30071,01/08/2019,05/03/2023,"715 Valley Drive
Syracuse, NY 13207
(43.009677, -76.156616)"
Westchester County Recyclable Material Transfer Station,167 Roa Hook Road,,Cortlandt,NY,10567,Westchester,3,9147370100,Westchester County,County,Transfer station - registration,[60R23],Yes,588090,4572400,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Commingled Paper & Containers,60R23,07/30/2001,,"167 Roa Hook Road
Cortlandt, NY 10567
(41.298036, -73.948388)"
Lockport Recycling Center LLC,178 Oakhurst Street,,Lockport,NY,14094,Niagara,9,7164331371,Charles W. Heinrich,Private,CDDHRF - asphalt pavement and millings - registration,[32C20009],Yes,197648,4786586,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,32C20009,10/15/2020,12/26/2028,"178 Oakhurst Street
Lockport, NY 14094
(43.170763, -78.719793)"
Alex Auto Parts Inc,327 Bryant Ave,,Bronx,NY,10474,Bronx,2,7188422500,Alex Auto Parts; Inc.,Private,VDF - large - registration,[03V50011],Yes,594139,4518013,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,03V50011,01/17/2020,01/16/2025,"327 Bryant Ave
Bronx, NY 10474
(40.807706, -73.883753)"
Page's - 2961 Lockport Road,2961 Lockport Road,,Niagara Falls,NY,14305,Niagara,9,,James Page,Private,Vehicle Dismantling Facility,[32J21],Yes,172498,4781541,4.2 - Utilization of GIS and existing spatial data,,,,,"2961 Lockport Road
Niagara Falls, NY 14305
(43.115931, -79.025249)"
Amherst Highway Department,3755 Tonawanda Creek Road,,Amherst,NY,14051,Erie,9,,Ryan Licata,Municipal,Composting - roadkill/mortalities - registration,[15P30080],Yes,196479,4776977,4 - GIS Assisted,Animal Carcasses,15P20080,10/20/2020,10/20/2025,"3755 Tonawanda Creek Road
Amherst, NY 14051
(43.084885, -78.726979)"
Brookhaven Waste Management Facility,350 Horseblock Road,,Yaphank,NY,11719,Suffolk,1,6312868551,Town of Brookhaven,Municipal,Mulch processing - registration,[52M10226],Yes,675100,4518600,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps),52M10226,03/13/2020,03/12/2024,
Ben Weitsman of Rochester,80 Steel Street,,Rochester,NY,14606,Monroe,8,5852540360,Ben Weitsman of Rochester; LLC,Private,Scrap metal processor - registration,[28V31003],Yes,283341,4782863,,Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Scrap Metal - Non-ferrous,28V31003,09/24/2020,09/23/2025,"80 Steel Street
Rochester, NY 14606
(43.16688, -77.665826)"
Prevete Bros. dba Atlantic Recycling,97-30 Atlantic Avenue,,Ozone Park,NY,11416,Queens,2,7183227900,Prevete Bros Inc,,Vehicle Dismantling Facility,[7104233],Yes,597548,4504868,,,,,,"97-30 Atlantic Avenue
Ozone Park, NY 11416
(40.689163, -73.84495)"
Williamson Services,12988 North Croghan Road,,Natural Bridge,NY,13665,Lewis,6,3156444000,Williamson Services LLC,Private,Transfer station - permit,[25T01],Yes,460526,4878981,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,6-2324-00118/00002,05/31/2018,05/30/2023,"12988 North Croghan Road
Natural Bridge, NY 13665
(44.064367, -75.492081)"
Kinsella Barrett Plant,4800 Solvay Road Ext.,,Jamesville,NY,13078,Onondaga,7,3153780657,Hanson Aggregates East,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[34C60033],Yes,412430,4761773,1 - No accuracy stated,Soil (Clean),34C10033,06/05/2018,06/04/2023,"4800 Solvay Road Ext.
Jamesville, NY 13078
(43.003602, -76.07451)"
Almstead Nursery,905 NYS Rt. 66,,Claverack,NY,12534,Columbia,4,9147609810,Richard Almstead,,Composting - yard trimmings - registration,[11P12801],Yes,605420,4680865,,Yard Waste,11P12801,03/07/2019,03/07/2024,"905 NYS Rt. 66
Claverack, NY 12534
(42.276205, -73.717036)"
Bens Tire Center Inc.,540 East Delavan Avenue,,Buffalo,NY,14211,Erie,9,7168910281,Craig E. Santos Jr.,Private,Motor vehicle repair shop - large - registration,[15V40078],Yes,186828,4759307,1 - No accuracy stated,End of Life Vehicles,15V40078,03/01/2021,03/01/2026,"540 East Delavan Avenue
Buffalo, NY 14211
(42.921794, -78.836927)"
J & A Bruno; LLC,280 Meredith Avenue ( when mailing: Building E),,Staten Island,NY,10314,Richmond,2,7184941500,J and A Bruno,Private,C&D processing - registration,[43M27],Yes,568087,4494715,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Rock;Sand,43M27,12/11/1994,,"280 Meredith Avenue ( when mailing: Building E)
Staten Island, NY 10314
(40.599718, -74.194108)"
Empire Metal Trading LLC,1301 Grand Street,,Brooklyn,NY,11211,Kings,2,,Charles J. King Inc.,,Scrap metal processor - registration,[24V30001],Yes,590770,4507777,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,24V30001,11/08/2019,11/07/2024,"1301 Grand Street
Brooklyn, NY 11211
(40.715807, -73.92538)"
(V) Ossining North Water Street Organic Transfer Station,30 Water Street,,Ossining,NY,10562,Westchester,3,9149233011,Village of Ossining DPW,Municipal,Transfer facility - registration,[60T104],Yes,594950,4557090,,Yard Waste,60T104,06/07/2018,06/07/2023,"30 Water Street
Ossining, NY 10562
(41.159414, -73.868065)"
Sand Lake (T) Convenience Facility,213 Chamberlin Hill Road,,West Sand Lake,NY,12196,Rensselaer,4,5182863102,Town of Sand Lake,Municipal,Transfer facility - registration,[42T14001],Yes,612163,4717984,,MSW (Residential/Institutional & Commercial),42T14001,04/01/2019,04/01/2024,"213 Chamberlin Hill Road
West Sand Lake, NY 12196
(42.606236, -73.63037)"
Oppenheim Transfer Station,122 State Highway 331,,Oppenheim,NY,13329,Fulton,5,5187365501,Fulton County,County,Transfer facility - registration,[18T10006],Yes,524942,4768814,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics,18T10006,07/02/2018,07/01/2023,
Hardy's Auto Parts LLC,1159 County Route 17,,Bernhards Bay,NY,13028,Oswego,7,3156753006,Doug Rainbow,Private,VDF - large - registration,[38V50014],Yes,426291,4795997,,End of Life Vehicles,38V50014,05/08/2019,05/07/2024,"1159 County Route 17
Bernhards Bay, NY 13028
(43.313006, -75.908838)"
Gershow Recycling Corporation (Medford),71 Peconic Ave.,,Medford,NY,11763,Suffolk,1,6312896188,Gershow Recycling Corporation,Private,Vehicle Dismantling Facility,[52J29],Yes,670655,4520557,4.3 - Utilization of Digital Orthophoto Quads,,,,,"71 Peconic Ave.
Medford, NY 11763
(40.816925, -72.981101)"
Jerges Used Auto Parts,7708 County Road 26,,Belfast,NY,14711,Allegany,9,5853652758,James Jerge,Private,Scrap metal processor - registration,[02V30019],Yes,244855,4691655,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Non-ferrous ;Scrap Metal - Ferrous,02V30019,11/21/2019,11/21/2024,"7708 County Road 26
Belfast, NY 14711
(42.335236, -78.098505)"
BioEnergy Development Inc,2650 Brooklyn Queens Expressway,,Woodside,NY,11377,Queens,2,5167614337,Steve Oh,Private,Used cooking oil & yellow grease processing - permit,[41OB5],Yes,592633,4512859,1 - No accuracy stated,Used Cooking Oil,,08/26/2017,08/25/2022,"2650 Brooklyn Queens Expressway
Woodside, NY 11377
(40.762403, -73.89675)"
Watch Hill Holding Corp/Royal Carting Service,409 Rt. 82; PO Box 1209,,Hopewell Junction,NY,12533,Dutchess,3,8458966000,Emil Panichi,,Transfer station - permit,[14T03],Yes,596254,4602370,,Construction & Demolition Debris;Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Asbestos (Non-Friable);Metals (Ferrous & Non-Ferrous);Concrete;Waste Tires;Compost;Waste Oil (Other);Electronics,3-1328-00129/00002,09/16/2020,09/15/2025,"409 Rt. 82; PO Box 1209
Hopewell Junction, NY 12533
(41.566822, -73.845079)"
Town of Webb Transfer Station,152 McCauley Mtn. Rd.,PO Box 157,Old Forge,NY,13420,Herkimer,6,3153693121,Oneida Herkimer SWMA,Municipal,Transfer facility - registration,[22T10001],Yes,502137,4837921,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Single Stream;Construction & Demolition Debris,22T10001,11/09/2018,11/08/2023,
Westfield Transfer Station,12 Bourne Street,,Westfield,NY,14787,Chautauqua,9,8002273552,Casella Waste Management NY Inc,Private,Transfer station - permit,[07T17],Yes,122409,4696534,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),9-0672-00040/00004,02/11/2016,07/31/2026,"12 Bourne Street
Westfield, NY 14787
(42.329724, -79.583615)"
Crossroads Transfer Station,331 STATE ROUTE 17 SOUTH,,Hillburn,NY,10931,Rockland,3,8453693111,IWS Transfer Systems of NY Inc.,Private,Transfer station - permit,[44T09],Yes,569440,4553345,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous),3-3926-00550/00001,08/16/2021,08/15/2026,
Old Mud Creek Farm,67 Pine Wood Rd.,,Livingston,NY,12534,Columbia,4,4138541507,Old Mud Creek Farm; LLC,Private,Land application - septage - registration,[11A44610],Yes,600842,4667378,1 - No accuracy stated,Septage,11A44610,10/30/2020,10/30/2025,"67 Pine Wood Rd.
Livingston, NY 12534
(42.150392, -73.781866)"
Buffalo Recycling Enterprises,266 Hopkins Street,,Buffalo,NY,14220,Erie,9,7164644550,Buffalo Recycling Enterprises; LLC,Private,RHRF - permit,[15RP0013],Yes,187543,4750790,4 - GIS Assisted,,9-1402-00645/00010,12/09/2018,12/09/2023,"266 Hopkins Street
Buffalo, NY 14220
(42.84596, -78.832331)"
Saputo Dairy Foods USA LLC,6701 County Road 20,,Friendship,NY,14739-8660,Allegany,9,5859733031,Saputo Dairy Foods USA; LLC,Private,Land application - UFPW - registration,[02A30001],Yes,243025,4678335,4.3 - Utilization of Digital Orthophoto Quads,Non-recognizable Food Processing Waste,02A30001,08/14/2018,08/14/2023,"6701 County Road 20
Friendship, NY 14739-8660
(42.214627, -78.114419)"
Ephratah Transfer Station,5225 State Highway 29,,Ephratah,NY,12095,Fulton,5,5187365501,Fulton County,County,RHRF - 5 tpd or less - registration,[18R10004],Yes,536837,4765508,,Electronics;Single Stream;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,18R10004,07/02/2018,07/01/2023,
Bath Sanitary Landfill,5632 Turnpike Road,,Bath,NY,14810,Steuben,8,6077763191,Steuben County,County,Landfill - MSW - permit,[51LS0025],Yes,303935,4687722,1 - No accuracy stated,Asbestos (Friable);Construction & Demolition Debris;Non-Radioactive;Commingled Paper & Containers;Industrial;Petroleum Contaminated Soil;MSW (Residential/Institutional & Commercial),8-4624-00031/00010,10/10/2019,02/12/2024,"5632 Turnpike Road
Bath, NY 14810
(42.324654, -77.383997)"
Rauscher Bros.; Inc.,1276 Fish Creek Road,,West Leyden,NY,13489,Lewis,6,3159424873,Douglas Rauscher,Private,RHRF - 5 tpd or less - registration,[25R10003],Yes,461782,4813384,,Single Stream,25R10003,02/07/2019,02/06/2024,"1276 Fish Creek Road
West Leyden, NY 13489
(43.472573, -75.472904)"
City Recycling Corp,151 Anthony Street,,Brooklyn,NY,11222,Kings,2,7185996573,Luciano and Gino Casagrande,Private,C&D processing - permit,[24W26],Yes,590173,4508759,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Rock,2-6101-00005/00003,12/01/2020,11/30/2025,"151 Anthony Street
Brooklyn, NY 11222
(40.724545, -73.932453)"
Bradley Farms,1543 Maple Ave.,,Elmira,NY,14904,Chemung,8,6077323231,Dan Hurley,Private,C&D processing - registration,[08W01],Yes,352557,4657679,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Unadulterated),08W01,08/30/2012,,"1543 Maple Ave.
Elmira, NY 14904
(42.05725, -76.7823)"
Norfolk LCD,Town of Norfolk,Joy Road,Norfolk,NY,13667,St. Lawrence,6,3153844911,Town of Norfolk,Municipal,Landfill - land clearing debris,[45D04],Yes,503995,4963185,4.3 - Utilization of Digital Orthophoto Quads,,45D04,10/06/2005,,
Generate Buffalo Digester; LLC,2900 North America Drive,,West Seneca,NY,14224,Erie,9,7169704746,Generate Capital Inc.,,Anaerobic digestion - permit,[15Z12],Yes,195329,4750416,4.2 - Utilization of GIS and existing spatial data,,9-1468-00224/00001,04/05/2018,04/04/2023,"2900 North America Drive
West Seneca, NY 14224
(42.845756, -78.728676)"
Clinton County Landfill,286 Sand Road,,Morrisonville,NY,12962,Clinton,5,5185635514,Clinton County,County,CDDHRF - concrete rock brick - registration,[10C10004],Yes,611371,4949669,1.1 - Obtained from original submission and unverified process,Concrete;Brick;Rock,10C10004,07/26/2019,07/26/2024,"286 Sand Road
Morrisonville, NY 12962
(44.690578, -73.595272)"
Middletown TS (T),Route 30,,Margaretville,NY,12455,Delaware,4,9145864566,Town of Middletown,Municipal,Transfer station - registration,[13R46],Yes,533264,4671635,,MSW (Residential/Institutional & Commercial),13R46,,,
D&D Used Trucks Parts Inc.,32 Shaw Avenue,,Bellport,NY,11713,Suffolk,1,6312861616,Daniel McKasty,Private,VDF - large - registration,[52V50271],Yes,673645,4515220,,End of Life Vehicles,52V0271,07/11/2019,07/10/2024,"32 Shaw Avenue
Bellport, NY 11713
(40.769661, -72.94231)"
Real City Auto Glass Inc,1213 Randall Avenue,,Bronx,NY,10474,Bronx,2,7188616555,Real City Auto Glass; Inc.,,VDF - large - registration,[03V50018],Yes,593635,4518462,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,03V50018,11/13/2020,11/12/2025,"1213 Randall Avenue
Bronx, NY 10474
(40.811686, -73.889781)"
Eckes Auto Body,787 Route 42,,Sparrowbush,NY,12780,Orange,3,8458562302,Wilbur Eckes,Private,Vehicle Dismantling Facility,[36J31],Yes,523599,4586699,,,,,,"787 Route 42
Sparrowbush, NY 12780
(41.431063, -74.717505)"
Otsego Auto Crushers LLC,5057 State Highway 12,,Norwich,NY,13815,Chenango,7,6073733487,Wayne Hymers Sr,Private,VDF - large - registration,[09V50016],Yes,455247,4702848,4.1 - Address Matching,End of Life Vehicles,09V50016,06/26/2018,06/26/2023,"5057 State Highway 12
Norwich, NY 13815
(42.4771, -75.543619)"
Hammond LCD,Hyde Road,,Hammond,NY,13646,St. Lawrence,6,3153245611,Town of Hammond,Municipal,Landfill - land clearing debris,[45D08],Yes,444877,4923497,1 - No accuracy stated,,45D08,09/22/2011,,
Reginald Palmer,3215 Ruby Road,,Warners,NY,13164,Onondaga,7,3154843331,Reginald Palmer,Private,VDF - large - registration,[34V50054],Yes,395426,4771257,,End of Life Vehicles;Waste Tire,34V50054,10/08/2019,10/08/2024,"3215 Ruby Road
Warners, NY 13164
(43.086814, -76.285596)"
Westchester County Household Material Recovery Facility,Grasslands Campus,15 Woods Road,Valhalla,NY,10595,Westchester,3,,Westchester County,County,Household hazardous waste,[60Z02],Yes,600680,4548149,1 - No accuracy stated,,3-5534-00329/00001,01/24/2012,11/09/2022,
ICS Waste Transfer Station,7 Railroad Ave,,Colonie,NY,12205,Albany,4,5183651611,Sebahattin Ipek,Private,C&D processing - permit,[01W16],Yes,597850,4727115,4 - GIS Assisted,,4-0126-00721/00001,07/02/2012,07/01/2022,"7 Railroad Ave
Colonie, NY 12205
(42.689548, -73.805917)"
JVB Landscaping Inc.,238-242 New Hackensack Road,,Wappingers Falls,NY,12590,Dutchess,3,8454621800,Jared Van Benschoten,Private,CDDHRF - concrete rock brick - registration,[14C10001],Yes,592907,4608423,4.3 - Utilization of Digital Orthophoto Quads,Concrete,14C10001,08/18/2021,08/17/2022,"238-242 New Hackensack Road
Wappingers Falls, NY 12590
(41.623694, -73.882528)"
Camden Land Application Facility,2921 State Route 69,,Camden (V),NY,13316,Oneida,6,3152451202,Village of Camden,Municipal,Land application - biosolids/septage/other - permit,[33AP0014],Yes,476176,4770548,4.3 - Utilization of Digital Orthophoto Quads,Biosolids,6-3030-00003/00002,02/01/2020,01/31/2025,"2921 State Route 69
Camden (V), NY 13316
(43.312798, -75.693236)"
Hague Transfer Station,21 Valley View Road,,Hague,NY,12836,Warren,5,5185436673,Town of Hague,Municipal,RHRF - 5 tpd or less - registration,[57R10010],Yes,616566,4846347,,Metals (Ferrous);Paper/Cardboard;Source Separated Recyclables (Metal/Glass/Paper/Plastic);Waste Tires;Commingled Recyclables,57R10010,07/25/2019,07/25/2024,"21 Valley View Road
Hague, NY 12836
(43.75737, -73.557521)"
Staten Island C&D LLC,11 Ferry Street,,Staten Island,NY,10302,Richmond,2,7187204650,,,C&D processing - permit,[43W13],Yes,573388,4499262,,Construction & Demolition Debris;Concrete;Soil (Clean);Wood (Clean);Wood (Pallets & Crates);Paper/Cardboard;Plastics;Metals (Aluminum);Waste Tires;Wood (Brush/ Branches/ Trees/ Stumps),2-6401-00020/00004,,06/30/2020,"11 Ferry Street
Staten Island, NY 10302
(40.640904, -74.131894)"
Lowman Drop-off Center,1488 County Rte 60,,Lowman,NY,14861,Chemung,8,8002273552,Chemung County,County,Transfer facility - registration,[08T10012],Yes,360714,4654334,,MSW (Residential/Institutional & Commercial),08T10012,03/27/2020,03/27/2025,
Colonie (T) SWMF,4 Arrowhead Lane,,Colonie,NY,12047,Albany,4,5187832827,Town of Colonie,Municipal,Landfill - MSW - permit,[01LS2601],Yes,603789,4740487,,Yard Waste;Construction & Demolition Debris;Petroleum Contaminated Soil;Industrial;Animal Carcasses;MSW (Residential/Institutional & Commercial),4-0126-00033/00001,04/05/2018,04/04/2028,"4 Arrowhead Lane
Colonie, NY 12047
(42.801704, -73.730765)"
Hanson Aggregates New York LLC - Bath,7235 Sand Pit Road,,Bath,NY,14810,Steuben,8,6077767962,Michael Lewis,Private,C&D processing - registration,[51W05],Yes,307500,4691200,1 - No accuracy stated,,51W05,,,"7235 Sand Pit Road
Bath, NY 14810
(42.351577, -77.331695)"
Suffolk Soil Ltd,640 Moriches-Middle Island Road,,Moriches,NY,11955,Suffolk,1,6318740353,Patrick Leary,Private,C&D processing - registration,[52W104R],Yes,684213,4520183,,Soil (Clean),52W104R,,,"640 Moriches-Middle Island Road
Moriches, NY 11955
(40.812405, -72.814818)"
Ira Transfer Station,12475 Bradt Road,,Cato,NY,13033,Cayuga,7,3156266905,Town of Ira,Municipal,Transfer facility - registration,[06T10013],Yes,372807,4786516,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Single Stream;Waste Tires,06T10013,02/21/2019,02/21/2024,"12475 Bradt Road
Cato, NY 13033
(43.220768, -76.566021)"
Davis Auto Salvage,7534 Tilton Road,,Bristol,NY,14469,Ontario,8,5856573202,Robert Davis,Private,Vehicle Dismantling Facility,[35J],Yes,299924,4745486,,,,,,"7534 Tilton Road
Bristol, NY 14469
(42.835494, -77.447866)"
T N T Scrap LLC,340 Maspeth Avenue,,Brooklyn,NY,11211,Kings,2,7183664017,T N T Scrap,Private,Vehicle Dismantling Facility,[41J],Yes,590313,4508024,,,,,,"340 Maspeth Avenue
Brooklyn, NY 11211
(40.718387, -73.930181)"
Sullivan County TS/MRF Monticello,132 Landfill Drive,,Monticello,NY,12701,Sullivan,3,8458070261,Sullivan County,County,RHRF - permit,[53M00],Yes,527801,4610407,,Commingled Paper;Source Separated Recyclables (Metal/Glass/Paper/Plastic);Paper / Cardboard;Newspaper,3-4846-00079/00031,07/21/2011,05/06/2020,
